,rel,head,tail,misc,misc2,score,sent
2590,HasProperty,baroreceptor firing,stimulation,8,0.0412580594966,10.672493338584896,[CLS] the bar ##ore ##ce ##pt ##or firing is stimulation . [SEP]
2085,HasPrerequisite,sky father,earth mother,9,1.37461993212e-05,10.193643271923062,[CLS] the sky father requires the earth mother . [SEP]
1587,HasA,limited partnership,limited liability,8,0.243738715341,9.63023829460144,[CLS] the limited partnership has a limited liability . [SEP]
2177,CapableOf,gas,water vapor,20,0.181166365016,8.603216946125027,[CLS] the gas can be water vapor . [SEP]
1513,HasA,hand,index finger,30,0.7248087796279999,8.497333645820618,[CLS] the hand has an index finger . [SEP]
1099,ReceivesAction,governor,removed from office,11,0.0852259501894,8.390033662319183,[CLS] the governor can be removed from office . [SEP]
795,UsedFor,hip hop,reggae,34,0.0190458738505,8.263965547084807,[CLS] you can use hip hop to reggae . [SEP]
2165,CapableOf,artillery,infantry fire,8,0.21531243934,8.181059479713436,[CLS] artillery can infantry fire . [SEP]
2188,CapableOf,prime minister,governor general,16,0.150223452037,8.01575517654419,[CLS] a prime minister can be governor general . [SEP]
674,UsedFor,prayer,holy spirit,14,0.12524348861,8.00719141960144,[CLS] the prayer is for the holy spirit . [SEP]
2811,Causes,playoff,championship game,10,0.0117645686147,7.875738978385925,[CLS] the effect of the playoff is the championship game . [SEP]
1948,HasPrerequisite,flood control,dam,9,0.00517211465358,7.864378631114961,[CLS] flood control requires a dam . [SEP]
2168,CapableOf,group,normal subgroup,58,0.209828008447,7.796899616718287,[CLS] group can be a normal subgroup . [SEP]
1250,IsA,tax,state income,20,0.638017702744,7.484567880630491,[CLS] the tax is a state income . [SEP]
2106,CapableOf,rock music,punk rock,13,0.771448566936,7.363203883171081,[CLS] rock music can be punk rock . [SEP]
606,UsedFor,pen name,author,40,0.649584212364,7.233665585517882,[CLS] the pen name is used for the author . [SEP]
2787,Causes,majority party,majority coalition,7,0.0215728966018,7.226298213005064,[CLS] the effect of the majority party is the majority coalition . [SEP]
1516,HasA,soil,organic matter,69,0.675219334862,7.175814390182494,[CLS] the soil contains organic matter . [SEP]
629,UsedFor,draft,first-round pick,11,0.345352304374,6.97864043712616,[CLS] the draft is for a first - round pick . [SEP]
1010,ReceivesAction,winter,form of snow,17,0.256026221246,6.8638624548912,[CLS] the winter can receive the form of snow . [SEP]
1108,ReceivesAction,blood,amount of oxygen,7,0.0690513333832,6.759140372276304,[CLS] the blood can receive an amount of oxygen . [SEP]
1730,HasA,the substance,drug,7,0.0258592444136,6.758654415607451,[CLS] the substance contains a drug . [SEP]
1590,HasA,episode,air date,12,0.218828700629,6.731256842613221,[CLS] the episode has an air date . [SEP]
926,ReceivesAction,energy,dissipated as heat,12,0.6187040470499999,6.704685151576996,[CLS] the energy can be dissipated as heat . [SEP]
712,UsedFor,housing,single family,19,0.0761458925803,6.616944193840025,[CLS] housing is for single family . [SEP]
374,AtLocation,dual carriageway,single carriageway,13,0.181427906674,6.458349466323851,[CLS] you are likely to find a dual carriage ##way in a single carriage ##way . [SEP]
1235,IsA,atomic nucleus,atom,7,0.73744924903,6.308772444725037,[CLS] an atomic nucleus is an atom . [SEP]
1374,IsA,bombing,war crime,7,0.195800375911,6.148501098155974,[CLS] the bombing is a war crime . [SEP]
1220,IsA,schizophrenia,major depressive disorder,8,0.8499141524860001,6.0179021358489955,[CLS] schizophrenia is a major de ##pressive disorder . [SEP]
1774,HasA,subject,indirect object,9,0.0033186284115700004,5.912458419799803,[CLS] the subject has an indirect object . [SEP]
2526,HasProperty,vector bundle,manifold,11,0.145314486966,5.828943729400634,[CLS] the vector bundle is a manifold . [SEP]
1240,IsA,space station,satellite,7,0.6867627648450001,5.728733599185942,[CLS] the space station is a satellite . [SEP]
2983,Causes,county seat,state capital,10,2.74231235211e-05,5.697149157524106,[CLS] the effect of the county seat is the state capital . [SEP]
2345,CapableOf,script,arabic alphabet,10,0.0119216530849,5.688517808914185,[CLS] the script can be an arabic alphabet . [SEP]
647,UsedFor,atp,cyclic amp,7,0.206857803247,5.679278969764707,[CLS] atp is for cyclic amp . [SEP]
2499,HasProperty,regime,political power,8,0.2073873138,5.657602369785306,[CLS] the regime is a political power . [SEP]
2799,Causes,movie,big screen,7,0.0156833426129,5.641194581985472,[CLS] the effect of the movie is the big screen . [SEP]
1179,ReceivesAction,subset,element of s,8,0.0107971231,5.57371163368225,[CLS] a subset can receive an element of s . [SEP]
2407,HasProperty,electric charge,magnetic,18,0.866070080959,5.548747658729553,[CLS] the electric charge is magnetic . [SEP]
1444,IsA,surveyor,court clerk,83,0.0575906881829,5.546429872512814,[CLS] the surveyor is a court clerk . [SEP]
1004,ReceivesAction,winter season,form of snow,10,0.266012752929,5.5067615509033185,[CLS] the winter season can receive the form of snow . [SEP]
2406,HasProperty,negative number,positive,9,0.890608974869,5.497174620628355,[CLS] a negative number is a positive . [SEP]
310,AtLocation,hockey association,national hockey,9,0.749859057719,5.481384396553037,[CLS] you are likely to find a hockey association in the national hockey . [SEP]
1844,HasPrerequisite,plurality voting,majority,12,0.07418344962060001,5.471136927604674,[CLS] plurality voting requires a majority . [SEP]
2713,Causes,film,silent version,7,0.303345980395,5.463854134082792,[CLS] the effect of the film is a silent version . [SEP]
1375,IsA,database,query language,8,0.186784694147,5.439280331134794,[CLS] database is a query language . [SEP]
448,AtLocation,technique,gel electrophoresis,7,0.0554477626779,5.433089971542351,[CLS] you are likely to find the technique in gel electro ##ph ##ores ##is . [SEP]
1251,IsA,dictatorship,political power,7,0.630393381032,5.341840147972105,[CLS] a dictatorship is a political power . [SEP]
1895,HasPrerequisite,overhead cam,engine,8,0.0185496432659,5.288518309593199,[CLS] the overhead cam requires the engine . [SEP]
1639,HasA,the definition,rule,13,0.121528480399,5.2593976855278015,[CLS] the definition contains a rule . [SEP]
1021,ReceivesAction,road,part of european route,7,0.236988254313,5.234998703002926,[CLS] road can receive part of european route . [SEP]
1456,IsA,demand,marginal utility,11,0.042611642732,5.206694006919859,[CLS] the demand is the marginal utility . [SEP]
1839,HasPrerequisite,market town,centre,46,0.0870323853104,5.20415675640106,[CLS] a market town requires a centre . [SEP]
2731,Causes,parachute brigade,battalion,10,0.108945958814,5.1569783687591535,[CLS] the effect of the parachute brigade is the battalion . [SEP]
605,UsedFor,lake,recreation area,7,0.659981854717,5.142597556114195,[CLS] the lake can be used for a recreation area . [SEP]
1552,HasA,the country,political stability,8,0.38369732239,5.1335291862487775,[CLS] the country has political stability . [SEP]
1501,HasA,electric bass,double bass,15,0.978933646502,5.037582993507381,[CLS] the electric bass has a double bass . [SEP]
675,UsedFor,bass player,drummer,36,0.123471683702,5.036873519420622,[CLS] the bass player is used to the drummer . [SEP]
2482,HasProperty,natural selection,evolutionary,29,0.277860170569,5.022773861885069,[CLS] natural selection is an evolutionary . [SEP]
2107,CapableOf,renewable energy,energy efficiency,18,0.7435094519159999,5.015352547168729,[CLS] renewable energy can be energy efficiency . [SEP]
972,ReceivesAction,category theory,branch of mathematics,12,0.374982227878,5.004786610603331,[CLS] the category theory can be a branch of mathematics . [SEP]
1287,IsA,company,joint venture,56,0.457569507792,4.961677730083465,[CLS] the company is a joint venture . [SEP]
582,AtLocation,decay chain,uranium,10,0.00169151258127,4.952380776405333,[CLS] you are likely to find the decay chain in the uranium . [SEP]
2216,CapableOf,pseudonym,real name,7,0.107236351352,4.914719939231871,[CLS] a pseudonym can be a real name . [SEP]
1051,ReceivesAction,corruption,abuse of power,14,0.167790024071,4.908839344978332,[CLS] corruption can receive an abuse of power . [SEP]
1336,IsA,legitimate son,heir,19,0.287809315138,4.886521577835079,[CLS] the legitimate son is the heir . [SEP]
2154,CapableOf,game,single player,20,0.258524294005,4.885828733444213,[CLS] the game can be single player . [SEP]
1780,HasA,social capital,concept,8,0.0024824333775700005,4.8841481804847655,[CLS] social capital contains the concept . [SEP]
1559,HasA,hospital,acute care,13,0.350180819316,4.870969891548154,[CLS] the hospital has an acute care . [SEP]
1335,IsA,commanding officer,admiral,14,0.28899305981400003,4.856895446777342,[CLS] commanding officer is an admiral . [SEP]
1953,HasPrerequisite,gene transfer,organism,13,0.004681749822479999,4.846261620521544,[CLS] gene transfer requires an organism . [SEP]
2233,CapableOf,anemia,chronic disease,9,0.08957514125350001,4.803347587585447,[CLS] an ##emia can be a chronic disease . [SEP]
1036,ReceivesAction,approximation,degree of accuracy,7,0.208194762431,4.759289503097532,[CLS] the approximation can receive a degree of accuracy . [SEP]
301,AtLocation,white hole,black hole,9,0.980471093986,4.731169283390043,[CLS] you are likely to find a white hole in the black hole . [SEP]
820,UsedFor,overhead cam,engine,8,0.00955268367309,4.7228713035583505,[CLS] the overhead cam is for the engine . [SEP]
2260,CapableOf,association football,field hockey,7,0.0616246028786,4.719481408596036,[CLS] association football can be field hockey . [SEP]
1959,HasPrerequisite,basketball court,playground equipment,9,0.00401884188565,4.699298381805417,[CLS] the basketball court requires playground equipment . [SEP]
1814,HasPrerequisite,family man,wife,11,0.295395719724,4.655462861061095,[CLS] a family man requires a wife . [SEP]
1243,IsA,island,reserve for marine life,9,0.6627792255039999,4.652775168418884,[CLS] the island is a reserve for marine life . [SEP]
2859,Causes,episode,season finale,12,0.00327671199662,4.63667047023773,[CLS] the effect of the episode is the season finale . [SEP]
1979,HasPrerequisite,electron affinity,atom,11,0.00210101618223,4.634992361068727,[CLS] the electron affinity requires an atom . [SEP]
1997,HasPrerequisite,wedding ceremony,groom,12,0.00125305580858,4.607951939105986,[CLS] the wedding ceremony requires the groom . [SEP]
1491,IsA,garden,public park,7,0.00447518996283,4.606068015098571,[CLS] the garden is a public park . [SEP]
2384,CapableOf,muscle,motor neuron,18,0.00175749636868,4.591884732246397,[CLS] a muscle can be a motor ne ##uron . [SEP]
264,HasSubevent,producer,studio executive,7,9.41758047947e-05,4.558219373226164,[CLS] one of the things you do when you the producer is a studio executive . [SEP]
322,AtLocation,bass clarinet,trombone,7,0.5223635355749999,4.45567178726196,[CLS] you are likely to find the bass clarinet in the trombone . [SEP]
1608,HasA,host city,bid,7,0.167517309243,4.3904643058776855,[CLS] the host city has bid . [SEP]
826,UsedFor,proof,algebraic geometry,7,0.00855709659536,4.381778359413145,[CLS] the proof can be used for algebraic geometry . [SEP]
628,UsedFor,gasoline,fuel economy,9,0.34942414806100003,4.378166198730465,[CLS] gasoline can be used for fuel economy . [SEP]
2007,HasPrerequisite,child custody,divorce,7,0.000883262710983,4.3311915397644025,[CLS] child custody requires a divorce . [SEP]
1229,IsA,positive feedback,output,13,0.7662209744390001,4.323594212532042,[CLS] the positive feedback is the output . [SEP]
375,AtLocation,homomorphism,orthogonal group,7,0.179973555803,4.3183155059814435,[CLS] you are likely to find homo ##morphism in the orthogonal group . [SEP]
648,UsedFor,angle,incident ray,8,0.198865960728,4.2772850394248945,[CLS] the angle is for the incident ray . [SEP]
1042,ReceivesAction,parliament,head of state,14,0.19054164778,4.276959776878355,[CLS] parliament can receive the head of state . [SEP]
380,AtLocation,electromagnetic radiation,electromagnetic spectrum,8,0.170423674947,4.2725179195404035,[CLS] you are likely to find electromagnetic radiation in the electromagnetic spectrum . [SEP]
1925,HasPrerequisite,music video,soundtrack,15,0.00978136464063,4.260194242000579,[CLS] a music video requires a soundtrack . [SEP]
1754,HasA,point,angular momentum,7,0.0109313862495,4.179089903831483,[CLS] point has an angular momentum . [SEP]
665,UsedFor,album,re-recorded version,7,0.145261130919,4.172198355197905,[CLS] the album is used for a re - recorded version . [SEP]
1802,HasPrerequisite,interest income,tax,7,0.776597892218,4.15416896343231,[CLS] interest income requires a tax . [SEP]
2682,HasProperty,hip hop,rhythm,11,0.00133832824704,4.123300492763516,[CLS] hip hop is a rhythm . [SEP]
